Player,Team,Update,Description
Saddiq Bey,Atlanta Hawks,"Thu, Mar 28, 2024",Out For Season (Knee) - The Atlanta Hawks announced Saddiq Bey underwent successful surgery Wednesday (Mar. 27) to repair the torn left anterior cruciate ligament (ACL) in his left knee.
AJ Griffin,Atlanta Hawks,"Mon, Apr 8, 2024",Out (Ankle) - Griffin is OUT for Tuesday's (Apr. 9) game against Miami.
Seth Lundy,Atlanta Hawks,"Mon, Apr 8, 2024",Out (Ankle) - Lundy is OUT for Tuesday's (Apr. 9) game against Miami.
Onyeka Okongwu,Atlanta Hawks,"Mon, Apr 1, 2024","Out (Toe) - Onyeka Okongwu (left big toe sprain), following a period of unloading, has resumed individual basketball activities. He will be re-evaluated in seven-to-10 days."
Trae Young,Atlanta Hawks,"Mon, Apr 8, 2024","Out (Finger) - Young has been cleared for contact and team practice without a timetable to return, per Jasmyn Wimbish of CBS Sports."
Al Horford,Boston Celtics,"Tue, Apr 9, 2024",Out (Toe) - Horford is OUT for Tuesday's (Apr. 9) game against Milwaukee.
Kristaps Porziņģis,Boston Celtics,"Tue, Apr 9, 2024",Out (Hamstring) - Porzingis is OUT for Tuesday's (Apr. 9) game against Milwaukee.
Keita Bates-Diop,Brooklyn Nets,"Wed, Mar 27, 2024",Out For Season (Shin) - The Nets announced Bates-Diop will miss the remainder of the season after under going a procedure to address a stress fracture.
Nic Claxton,Brooklyn Nets,"Tue, Apr 9, 2024",Day To Day (Ankle) - Claxton is PROBABLE for Wednesday's (Apr. 10) game against Toronto.
Dorian Finney-Smith,Brooklyn Nets,"Tue, Apr 9, 2024",Out (Knee) - Finney-Smith is OUT for Wednesday's (Apr. 10) game against Toronto.
Jacob Gilyard,Brooklyn Nets,"Tue, Apr 9, 2024",Day To Day (Hip) - Gilyard is PROBABLE for Wednesday's (Apr. 10) game against Toronto.
Cameron Johnson,Brooklyn Nets,"Tue, Apr 9, 2024",Day To Day (Toe) - Johnson is PROBABLE for Wednesday's (Apr. 10) game against Toronto.
Jaylen Martin,Brooklyn Nets,"Tue, Apr 9, 2024",Out (Ankle) - Martin is OUT for Wednesday's (Apr. 10) game against Toronto.
Dariq Whitehead,Brooklyn Nets,"Sat, Jan 27, 2024",Out For Season (Shin) - Nets coach Jacque Vaughn said Whitehead will undergo season-ending surgery.
Ben Simmons,Brooklyn Nets,"Thu, Mar 7, 2024",Out For Season (Back) - The Nets announced that Simmons will miss the rest of the season with a nerve impingement in his lower back.
Dennis Smith Jr.,Brooklyn Nets,"Tue, Apr 9, 2024",Out (Hip) - Smith Jr. is OUT for Wednesday's (Apr. 10) game against Toronto.
Amari Bailey,Charlotte Hornets,"Tue, Apr 9, 2024",Out (Illness) - Bailey is OUT for Tuesday's (Apr. 9) game against Dallas.
LaMelo Ball,Charlotte Hornets,"Wed, Mar 27, 2024","Out For Season (Ankle) - Ball hasn't played since Jan. 26 and will miss the remainder of the season as he continues rehab, per Senior lead NBA Insider Shams Charania."
Seth Curry,Charlotte Hornets,"Mon, Mar 25, 2024",Out (Ankle) - Curry is still OUT with an ankle injury with no update on a return.
Cody Martin,Charlotte Hornets,"Mon, Mar 25, 2024",Out (Ankle) - Martin is still OUT with an ankle injury and has no timetable on a return.
Mark Williams,Charlotte Hornets,"Thu, Mar 14, 2024",Out (Back) - Williams hasn't played since Dec. 8 against Toronto and remains without a timetable to return.
Lonzo Ball,Chicago Bulls,"Tue, Nov 7, 2023",Out For Season (Knee) - Ball will miss the 2023-24 season while recovering from surgery.
Ayo Dosunmu,Chicago Bulls,"Tue, Apr 9, 2024",Out (Quad) - Dosunmu is OUT for Tuesday's (Apr. 9) game against New York.
Zach LaVine,Chicago Bulls,"Sat, Feb 3, 2024",Out For Season (Ankle) - The Chicago Bulls announced guard Zach LaVine will undergo surgery on right foot and be out the rest of the season. via @AdamSchefter on X.
Julian Phillips,Chicago Bulls,"Mon, Apr 8, 2024",Out (Foot) - Phillips is OUT for Tuesday's (Apr. 9) game against New York.
Patrick Williams,Chicago Bulls,"Fri, Feb 23, 2024",Out For Season (Foot) - The Bulls announced that Williams will undergo season ending foot surgery.
Ty Jerome,Cleveland Cavaliers,"Thu, Mar 21, 2024",Out (Ankle) - Jerome underwent surgery on his right ankle (Jan. 23) and remains out indefinitely.
Sam Merrill,Cleveland Cavaliers,"Tue, Apr 9, 2024",Day To Day (Neck) - Merrill is DOUBTFUL for Wednesday's (Apr. 10) game against Memphis.
Dean Wade,Cleveland Cavaliers,"Tue, Apr 9, 2024",Out (Knee) - Wade is OUT for Wednesday's (Apr. 10) game against Memphis.
Greg Brown III,Dallas Mavericks,"Mon, Apr 8, 2024",Out (Personal) - Brown III is OUT for Tuesday's (Apr. 9) game against Charlotte.
Josh Green,Dallas Mavericks,"Tue, Apr 9, 2024",Out (Ankle) - Green is OUT for Tuesday's (Apr. 9) game against Charlotte.
Dereck Lively II,Dallas Mavericks,"Mon, Apr 8, 2024",Out (Leg) - Lively II is OUT for Tuesday's (Apr. 9) game against Charlotte.
Vlatko Čančar,Denver Nuggets,"Thu, Aug 17, 2023",Out (Knee) - The Nuggets announced that Cancar underwent surgery on his left knee and is out indefinitely.
Aaron Gordon,Denver Nuggets,"Tue, Apr 9, 2024",Out (Foot) - Gordon is OUT for Tuesday's (Apr. 9) game against Utah.
Cade Cunningham,Detroit Pistons,"Tue, Apr 9, 2024",Out (Knee) - Cunningham is OUT for Tuesday's (Apr. 9) game against Philadelphia.
Simone Fontecchio,Detroit Pistons,"Mon, Apr 8, 2024",Out (Toe) - Fontecchio is OUT for Tuesday's (Apr. 9) game against Philadelphia.
Quentin Grimes,Detroit Pistons,"Fri, Mar 29, 2024","Out For Season (Knee) - Grimes will miss the rest of the season to rehab lingering muscle soreness related to his knee injury, according to Shams Charani."
Isaiah Stewart,Detroit Pistons,"Wed, Mar 20, 2024",Out For Season (Hamstring) - The Pistons announced that Stewart will miss the rest of the season with a right hamstring strain.
Ausar Thompson,Detroit Pistons,"Wed, Mar 20, 2024",Out For Season (Illness) - The Pistons announced that Thompson will miss the rest of the season while being treated for a blood clot.
Stanley Umude,Detroit Pistons,"Fri, Mar 22, 2024",Out For Season (Ankle) - Umude is expected to miss the rest of the season with a hairline fracture to the right ankle.
Dario Šarić,Golden State Warriors,"Mon, Apr 8, 2024",Out (Knee) - Saric is OUT for Tuesday's (Apr. 9) game against the Lakers.
Steven Adams,Houston Rockets,"Tue, Oct 24, 2023",Out For Season (Knee) - The Grizzlies announced that Adams will undergo season-ending surgery on his right knee.
Tari Eason,Houston Rockets,"Sun, Mar 3, 2024",Out For Season (Leg) - Rockets coach Ime Udoka announced that Eason will undergo season-ending surgery.
Alperen Sengun,Houston Rockets,"Tue, Mar 12, 2024",Out (Ankle) - Sengun has been diagnosed with a Grade 3 sprain and will likely miss the rest of the season. via Shams Charania
Jae'Sean Tate,Houston Rockets,"Mon, Apr 8, 2024",Out (Ankle) - Tate is OUT for Tuesday's (Apr. 9) game against Orlando.
Bennedict Mathurin,Indiana Pacers,"Sat, Mar 9, 2024",Out For Season (Shoulder) - The Pacers announced that Mathurin will miss the rest of the season after undergoing shoulder surgery.
James Harden,Los Angeles Clippers,"Tue, Apr 9, 2024",Out (Foot) - Harden is OUT for Tuesday's (Apr. 9) game against Phoenix.
Kawhi Leonard,Los Angeles Clippers,"Tue, Apr 9, 2024",Out (Knee) - Leonard is OUT for Tuesday's (Apr. 9) game against Phoenix.
Joshua Primo,Los Angeles Clippers,"Tue, Apr 9, 2024",Out (Ankle) - Primo is OUT for Tuesday's (Apr. 9) game against Phoenix.
Anthony Davis,Los Angeles Lakers,"Tue, Apr 9, 2024",Out (Eye) - Davis is OUT for Tuesday's (Apr. 9) game against Golden State.
Jalen Hood-Schifino,Los Angeles Lakers,"Thu, Mar 21, 2024",Out (Back) - Lakers say Jalen Hood-Schifino underwent a lumbar microdiscectomy back procedure today. No timetable on return.
Jarred Vanderbilt,Los Angeles Lakers,"Tue, Mar 12, 2024","Out (Foot) - Vanderbilt (foot) is progressing in his rehab, but he has not been cleared for on-court activities as of Tuesday, Khobi Price of The Orange County Register reports."
Christian Wood,Los Angeles Lakers,"Mon, Mar 18, 2024",Out (Knee) - Wood will undergo an arthroscopic procedure on his left knee and is expected to be sidelined for several weeks. via @Woj
Santi Aldama,Memphis Grizzlies,"Mon, Apr 8, 2024",Out (Foot) - Aldama is OUT for Tuesday's (Apr. 9) game against San Antonio.
Desmond Bane,Memphis Grizzlies,"Mon, Apr 8, 2024",Out (Back) - Bane is OUT for Tuesday's (Apr. 9) game against San Antonio.
Jaren Jackson Jr.,Memphis Grizzlies,"Mon, Apr 8, 2024",Out (Quad) - Jackson Jr. is OUT for Tuesday's (Apr. 9) game against San Antonio.
Luke Kennard,Memphis Grizzlies,"Mon, Apr 8, 2024",Out (Knee) - Kennard is OUT for Tuesday's (Apr. 9) game against San Antonio.
John Konchar,Memphis Grizzlies,"Mon, Apr 8, 2024",Out (Heel) - Konchar is OUT for Tuesday's (Apr. 9) game against San Antonio.
Jake LaRavia,Memphis Grizzlies,"Tue, Apr 9, 2024",Out (Ankle) - LaRavia is OUT for Tuesday's (Apr. 9) game against San Antonio.
